idx,scale/m,translate_x/m,translate_y/m,translate_z/m,rotate/deg
1,0.07017047287,0.16,0,0,15.534316
2,0.07980245165,0.2,0,0,14.322947
3,0.0914,0.24,0,0,13.104
4,0.1029975483,0.28,0,0,11.885053
5,0.1126295271,0.32,0,0,10.673684
6,0.1183303673,0.36,0,0,9.477474
7,0.1181345,0.4,0,0,8.304
8,0.1111463199,0.44000000000000006,0,0,7.153263
9,0.1007500812,0.48,0,0,5.994947
10,0.0914,0.52,0,0,4.791158
11,0.08623307688,0.56,0,0,3.504
12,0.08311743997,0.6,0,0,2.105263
13,0.078604,0.64,0,0,0.605474
14,0.07794376353,0.644,0,0,0.450715
15,0.07723626984,0.648,0,0,0.295168
16,0.07002046891,0.68,0,0,-0.975158
17,0.05780176787,0.72,0,0,-2.616421
18,0.05432109649,0.73,0,0,-3.033842
19,0.05070789226,0.74,-0.0000906688,0,-3.453474
20,0.04698108925,0.75,-0.0006445528,0,-3.875
21,0.0431596204,0.76,-0.0017021422,0,-4.298105
22,0.0353084181,0.78,-0.0053278888,0,-5.147789
23,0.03371515501,0.784,-0.0062948094,0,-5.31811
24,0.03211704486,0.788,-0.0073422534,0,-5.488512
25,0.03051529927,0.792,-0.0084702208,0,-5.658974
26,0.02730575,0.8,-0.010968,0,-6.0
