idx,scale/m,translate_x/m,translate_y/m,translate_z/m,rotate/deg
1,0.08080005313,0.18288,0,0,15.221684
2,0.09159792383,0.2286,0,0,14.067553
3,0.1045,0.27432,0,0,12.912
4,0.1174020762,0.32003999999999996,0,0,11.756447
5,0.1281999469,0.36576,0,0,10.602316
6,0.1347894066,0.41148,0,0,9.451026
7,0.13506625,0.4572,0,0,8.304
8,0.1279939467,0.50292,0,0,7.158237
9,0.1168066652,0.54864,0,0,5.993053
10,0.10580625,0.59436,0,0,4.783342
11,0.09809826208,0.6400799999999999,0,0,3.504
12,0.09200313042,0.6858,0,0,2.136737
13,0.084645,0.73152,0,0,0.690526
14,0.08372965315,0.736092,0.0000105545,0,0.542171
15,0.08277395297,0.740664,0.000041173,0,0.3932
16,0.07379977773,0.77724,0.0007861535,0,-0.818842
17,0.05985041563,0.82296,0.0019352355,0,-2.375579
18,0.05599930848,0.83439,0.0020664875,0,-2.770314
19,0.05203502978,0.84582,0.002053216,0,-3.166776
20,0.04797374701,0.85725,0.0016399185,0,-3.564719
21,0.04383162695,0.86868,0.000767448,0,-3.963895
22,0.03536954548,0.89154,-0.0023553255,0,-4.764961
23,0.03365746973,0.896112,-0.0032003125,0,-4.925474
24,0.03194125512,0.900684,-0.004118763,0,-5.08605
25,0.03022193622,0.905256,-0.005110677,0,-5.246674
26,0.026778125,0.9144,-0.007315,0,-5.568
